Consumer shift (22:00 -6:00) arrival times,answer times,completion times
1320.5906550895193,1320.590655, 1322.582281037565
1321.644929092989,1321.644929, 1322.8771882767328
1322.1170243418792,1322.582281, 1323.7636376132846
1323.4496031352319,1323.449603, 1324.328725245355
1324.5006443796167,1324.500644, 1325.5086690560536
1327.1393702007488,1327.13937, 1328.1488289746342
1327.4995214133676,1327.499521, 1328.521080580406
1327.7141126933275,1328.148829, 1329.9266825321326
1330.031149178887,1330.031149, 1330.4478158455538
1331.509592439369,1331.509592, 1332.2261045080372
1332.9952133356228,1332.995213, 1334.1754077241396
1332.8131151136836,1332.813115, 1334.585276236159
1333.8204938738197,1334.175408, 1335.3607770920057
1335.0238823624773,1335.023882, 1335.5349346162948
1335.0980888389322,1335.360777, 1336.640712081513
1336.437756491098,1336.640712, 1337.5659485302656
1336.319092598688,1336.319093, 1337.5979071426568
1337.333248172895,1337.565949, 1338.0610510137033
1337.6290654129439,1338.061051, 1338.47771768037
1337.9888096653858,1338.477718, 1339.0884383539826
1337.3627129376328,1337.597907, 1339.1136337738897
1338.4033141621535,1339.113634, 1339.7626832757976
1338.320377115991,1339.088438, 1339.9791493958196
1338.6048564189032,1339.762683, 1341.1380319134212
1339.9880781312866,1339.988078, 1341.259273699906
1340.0693180322653,1341.138032, 1342.4805872731745
1341.056966274161,1341.259274, 1342.7004034330396
1341.0627140771203,1342.480587, 1343.1915496946465
1341.298849432113,1342.700403, 1344.4289980599865
1342.5810818002858,1344.428998, 1345.8592301956755
1341.8336772217406,1343.19155, 1346.2243207618753
1343.160146571233,1345.85923, 1346.2758968623423
1343.6918306796451,1346.275897, 1346.7733213140853
1345.4357358118937,1346.773321, 1347.4543964719307
1343.6205044241296,1346.224321, 1347.677502531279
1346.0546841448,1347.454396, 1348.9602428772116
1348.9100212279106,1348.960243, 1349.7683623175194
1348.2608408107271,1348.260841, 1349.8321314698208
1349.3334677675355,1349.832131, 1351.07649866923
1348.9394992888788,1349.768362, 1351.5287780650997
1350.0677416945603,1351.528778, 1352.5682104425746
1349.6562079852683,1351.076499, 1352.9985040164522
1350.24156347512,1352.56821, 1353.3038860322804
1352.2585788609874,1353.303886, 1354.0246021089445
1351.1315623480102,1352.998504, 1354.508922808504
1352.9287946168627,1354.024602, 1355.2806944622776
1353.5855054326537,1354.508923, 1356.277216389259
1353.6069807556864,1355.280694, 1356.4407139935297
1355.59501527623,1356.440714, 1357.4882884086176
1353.8344632592905,1356.277216, 1357.839886197223
1357.2024295142462,1357.839886, 1359.1014272809941
1357.020515223072,1357.488288, 1359.538085267201
1357.6671510253075,1359.101427, 1360.0979565282557
1359.018490443709,1359.538085, 1360.9540345090943
1359.2051359580996,1360.097957, 1361.2292640734224
1359.8666907890363,1360.954035, 1362.0084109958211
1361.1064918886232,1362.008411, 1362.7324881043305
1359.9487528256996,1361.229264, 1362.7807219926672
1361.3147207648515,1362.732488, 1364.3540943295625
1362.756645830047,1362.780722, 1364.4187091100011
1364.3376848497287,1364.354094, 1365.2054420265747
1365.513764806582,1365.513765, 1366.3054655339802
1365.0990169033028,1365.099017, 1366.3771698681678
1366.9705614888421,1366.970561, 1367.4463222457182
1365.966313953624,1366.305466, 1367.5735119021144
1368.4256731415446,1368.425673, 1370.0708288525825
1369.012870744653,1369.012871, 1370.4345274050843
1369.801873088864,1370.070829, 1371.771390204026
1370.8126358873133,1371.77139, 1372.3639313519886
1370.4882507094899,1370.488251, 1372.81560697515
1371.9469454647044,1372.815607, 1373.4348350955702
1371.1709601024713,1372.363931, 1374.171190881768
1375.0986620079102,1375.098662, 1375.515328674577
1374.050118491067,1374.050118, 1376.0109901392075
1375.1421278935234,1375.515329, 1376.9517923139733
1375.4823641588769,1376.01099, 1377.5954281111851
1377.77754461803,1377.777545, 1378.7422444245512
1375.9231610657357,1376.951792, 1378.7783383369847
1377.9353894662497,1378.742244, 1379.158911091218
1377.9609439937362,1378.778338, 1380.4929121402874
1378.5181384580846,1379.158911, 1380.9755897434295
1380.0754923906268,1380.97559, 1382.441750103553
1379.6214142691106,1380.492912, 1382.6192087047245
1381.7141087342477,1382.619209, 1383.8849114450106
1380.4823243769868,1382.44175, 1384.1713200256233
1383.648574594197,1384.17132, 1384.58798669229
1384.2893211057626,1384.587987, 1385.0434733944371
1383.315393003803,1383.884911, 1385.928727829676
1385.3143241979355,1385.314324, 1386.3261016145668
1387.3930945976053,1387.393095, 1387.8625135900934
1388.021307416312,1388.021307, 1388.9451423871694
